frame_idx,timestamp_sec,nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility
0,0.0,0.4706893265247345,0.24204859137535095,-0.3694103956222534,0.9609555602073669,0.4562852084636688,0.22098088264465332,-0.34483641386032104,0.9472290873527527,0.45161378383636475,0.2180708348751068,-0.3460574448108673,0.9617184996604919,0.44660282135009766,0.21519091725349426,-0.3460192382335663,0.9690125584602356,0.4525251090526581,0.22362416982650757,-0.44266214966773987,0.9515988826751709,0.4436413645744324,0.22228428721427917,-0.4435730278491974,0.9679262042045593,0.4330551028251648,0.2207697331905365,-0.44420579075813293,0.9714502692222595,0.38482341170310974,0.2186017632484436,-0.17838305234909058,0.9931633472442627,0.366263210773468,0.22143687307834625,-0.6221560835838318,0.9742383360862732,0.4491897225379944,0.26489758491516113,-0.2869768440723419,0.9823252558708191,0.44342973828315735,0.2637421786785126,-0.4204467833042145,0.974388837814331,0.35052192211151123,0.33790940046310425,0.04633944481611252,0.9997949004173279,0.23985996842384338,0.3509451746940613,-0.719999372959137,0.999249279499054,0.3857630789279938,0.5003047585487366,0.18751326203346252,0.051010116934776306,0.4527032971382141,0.4864996373653412,-0.6897067427635193,0.9891402721405029,0.40868598222732544,0.6111875772476196,0.02467268332839012,0.029875703155994415,0.5084450840950012,0.3296508193016052,-0.35072410106658936,0.9857843518257141,0.42225950956344604,0.6632207632064819,0.029804302379488945,0.03352190554141998,0.526138186454773,0.2964136600494385,-0.4013410210609436,0.9764469861984253,0.42619580030441284,0.6436245441436768,-0.01782817766070366,0.031482648104429245,0.4901494085788727,0.2868287265300751,-0.37727296352386475,0.9716611504554749,0.4217316210269928,0.6313542127609253,0.002155338879674673,0.034728940576314926,0.47860920429229736,0.2983827590942383,-0.33545783162117004,0.9419953227043152,0.4013669788837433,0.6430488228797913,0.24245330691337585,0.9998844861984253,0.2865455150604248,0.658509373664856,-0.24271973967552185,0.9998989105224609,0.47239482402801514,0.7768425345420837,1.030242919921875,0.2093079686164856,0.2449447214603424,0.8444847464561462,0.20585212111473083,0.9657573699951172,0.5214784145355225,0.8927234411239624,1.8019994497299194,0.31539201736450195,0.17269468307495117,0.9890874624252319,0.694847047328949,0.9359758496284485,0.485988974571228,0.9266647100448608,1.8710564374923706,0.34338104724884033,0.1357317566871643,1.0091421604156494,0.7386975884437561,0.712749719619751,0.6787317991256714,0.932563066482544,1.8280754089355469,0.35271522402763367,0.24091976881027222,1.086540937423706,0.5593569278717041,0.8260982632637024
1,0.06666666666666667,0.4741036891937256,0.24208222329616547,-0.3665916323661804,0.9496109485626221,0.46389710903167725,0.22094981372356415,-0.33998480439186096,0.9313336610794067,0.4580371379852295,0.21808423101902008,-0.3411415219306946,0.946254312992096,0.4524511694908142,0.21528945863246918,-0.3410004675388336,0.9572374224662781,0.4614514410495758,0.22328990697860718,-0.4438573122024536,0.9414927959442139,0.4534339904785156,0.22192634642124176,-0.444771945476532,0.9601201415061951,0.44539251923561096,0.22036932408809662,-0.44537416100502014,0.9662723541259766,0.3917963206768036,0.2181026190519333,-0.14957234263420105,0.9870189428329468,0.37502720952033997,0.22094978392124176,-0.6484485268592834,0.9699475169181824,0.4525138735771179,0.2647482454776764,-0.2760569751262665,0.9774596691131592,0.4478488862514496,0.26354745030403137,-0.4209845960140228,0.9708309769630432,0.3557257056236267,0.3369728922843933,0.1294373720884323,0.9996940493583679,0.25522440671920776,0.3471148908138275,-0.7904263138771057,0.9991456866264343,0.4504402279853821,0.4724496304988861,-0.08133905380964279,0.049171335995197296,0.47296303510665894,0.48494893312454224,-0.7204498648643494,0.9840786457061768,0.5132336020469666,0.35311439633369446,-0.802724301815033,0.035607028752565384,0.5161550641059875,0.3296467363834381,-0.24970705807209015,0.9796071648597717,0.527716338634491,0.32236310839653015,-0.8812865018844604,0.0442381426692009,0.5351396203041077,0.2960139214992523,-0.2780405879020691,0.9689691066741943,0.5047313570976257,0.31017813086509705,-0.8822098970413208,0.0418563187122345,0.49954771995544434,0.28679773211479187,-0.26092836260795593,0.9639062881469727,0.48906031250953674,0.3217950463294983,-0.8237764239311218,0.043329667299985886,0.4864596426486969,0.29814696311950684,-0.23101581633090973,0.9294033646583557,0.40995556116104126,0.6441065073013306,0.29123184084892273,0.9997889995574951,0.29619845747947693,0.6604815125465393,-0.2917981445789337,0.999819278717041,0.4775814116001129,0.7768420577049255,1.1253619194030762,0.19085513055324554,0.24873515963554382,0.8420161008834839,0.022897006943821907,0.9302066564559937,0.5211901664733887,0.8927313685417175,1.861694097518921,0.292781263589859,0.1722235530614853,0.984961748123169,0.45039457082748413,0.9032650589942932,0.4875289797782898,0.926456093788147,1.927289366722107,0.3298814594745636,0.13593430817127228,1.004538655281067,0.4895089268684387,0.6739286780357361,0.6787313222885132,0.9327605962753296,1.89842689037323,0.332746684551239,0.24030934274196625,1.0832312107086182,0.31897062063217163,0.79055255651474
2,0.13333333333333333,0.4887171685695648,0.2433537095785141,-0.346962034702301,0.9412067532539368,0.48118457198143005,0.22229363024234772,-0.3219951093196869,0.9202010035514832,0.4762537479400635,0.2195485234260559,-0.3231130838394165,0.9353204369544983,0.4702845811843872,0.21676257252693176,-0.3228890597820282,0.9492886662483215,0.48013758659362793,0.22400179505348206,-0.43329083919525146,0.934313952922821,0.47448617219924927,0.22244462370872498,-0.4342057704925537,0.9544969797134399,0.4670744240283966,0.22073617577552795,-0.43474143743515015,0.9625062942504883,0.4093925356864929,0.2180323302745819,-0.1329379826784134,0.9827399849891663,0.3973141312599182,0.22093147039413452,-0.645393431186676,0.9666784405708313,0.46752193570137024,0.2650967836380005,-0.25472864508628845,0.974101185798645,0.46318110823631287,0.2637583911418915,-0.40842291712760925,0.9683416485786438,0.36729562282562256,0.33596688508987427,0.14053796231746674,0.9996235370635986,0.27634087204933167,0.3419753313064575,-0.7796515822410583,0.999060869216919,0.47769129276275635,0.46580079197883606,-0.10691004991531372,0.048276953399181366,0.49636340141296387,0.4812188744544983,-0.716364324092865,0.9794416427612305,0.5362657308578491,0.34371116757392883,-0.8148612380027771,0.042833734303712845,0.5330904722213745,0.3270261585712433,-0.21600742638111115,0.9719632267951965,0.5538489818572998,0.31181859970092773,-0.893440842628479,0.056827057152986526,0.5516993999481201,0.2946246862411499,-0.23999987542629242,0.95986008644104,0.5279416441917419,0.3004011809825897,-0.8927804231643677,0.0541510134935379,0.516965925693512,0.2865600883960724,-0.2234594076871872,0.9544771313667297,0.5117690563201904,0.3141920268535614,-0.8347214460372925,0.05362140014767647,0.5044999122619629,0.29755720496177673,-0.19762516021728516,0.9147956371307373,0.4242551028728485,0.6442439556121826,0.29462283849716187,0.9997217655181885,0.308534175157547,0.6606430411338806,-0.2952260673046112,0.9997595548629761,0.4847138226032257,0.7760356664657593,1.1043208837509155,0.17481729388237,0.2526455521583557,0.8383054137229919,0.013504642061889172,0.9022921323776245,0.5211812853813171,0.8927150964736938,1.8345662355422974,0.2757572531700134,0.17221388220787048,0.9836447834968567,0.4115740656852722,0.8814598917961121,0.4890495836734772,0.926121175289154,1.892772912979126,0.32344818115234375,0.13630905747413635,0.9997535943984985,0.44722259044647217,0.6450475454330444,0.678792417049408,0.9329531788825989,1.8515560626983643,0.3211313784122467,0.2403574138879776,1.0793455839157104,0.26541444659233093,0.7687005996704102
3,0.2,0.5083339810371399,0.24508292973041534,-0.34841758012771606,0.923907458782196,0.49748578667640686,0.22363455593585968,-0.3225763440132141,0.8977392315864563,0.490825355052948,0.22095194458961487,-0.32372212409973145,0.914463996887207,0.4839474856853485,0.2182948887348175,-0.32356560230255127,0.9323104619979858,0.4974851608276367,0.22489061951637268,-0.43952590227127075,0.9183813333511353,0.49113568663597107,0.22313234210014343,-0.4404453933238983,0.942590594291687,0.4841857850551605,0.22130520641803741,-0.4409863352775574,0.9538041353225708,0.4293564558029175,0.21816334128379822,-0.13942524790763855,0.9740145206451416,0.4201454520225525,0.22120898962020874,-0.6638926267623901,0.9594977498054504,0.4825391471385956,0.2656382620334625,-0.25850939750671387,0.9644914865493774,0.4804685115814209,0.26425907015800476,-0.41285473108291626,0.9605810642242432,0.3758643567562103,0.3344465494155884,0.13272887468338013,0.9994741082191467,0.2971097230911255,0.34029796719551086,-0.8161051273345947,0.9988826513290405,0.475091814994812,0.46509790420532227,-0.09069808572530746,0.04523255303502083,0.5212610363960266,0.4798647463321686,-0.7482877373695374,0.9731509685516357,0.5455054640769958,0.3510058522224426,-0.7649003863334656,0.04393859952688217,0.5534617304801941,0.3261658251285553,-0.2464798390865326,0.9631263613700867,0.5598651766777039,0.3187498450279236,-0.8361361026763916,0.060994744300842285,0.5670871138572693,0.29309743642807007,-0.27591294050216675,0.9501050114631653,0.5381637811660767,0.30445727705955505,-0.8458961844444275,0.058353252708911896,0.5364929437637329,0.2861325442790985,-0.26044589281082153,0.9445980191230774,0.5234237313270569,0.31745225191116333,-0.789057195186615,0.05714404582977295,0.5242059230804443,0.2969565987586975,-0.22948499023914337,0.8998925089836121,0.435494601726532,0.643448531627655,0.3052193224430084,0.9996317028999329,0.32088732719421387,0.6603869199752808,-0.305813193321228,0.9996830821037292,0.4991941750049591,0.7726561427116394,1.1228892803192139,0.1600007861852646,0.25978830456733704,0.8321371078491211,-0.005513481330126524,0.8776199817657471,0.5214885473251343,0.8926297426223755,1.8430107831954956,0.26026058197021484,0.17208367586135864,0.9832016229629517,0.3683144152164459,0.8650423884391785,0.48974141478538513,0.9256551265716553,1.903868317604065,0.3155456483364105,0.1363546997308731,1.0000803470611572,0.40128111839294434,0.6229016780853271,0.678764820098877,0.9329360723495483,1.8647927045822144,0.3088197112083435,0.24042555689811707,1.0775431394577026,0.21524681150913239,0.7505042552947998
4,0.26666666666666666,0.5331686735153198,0.25190141797065735,-0.3585660457611084,0.8773626089096069,0.521507978439331,0.22930942475795746,-0.33628591895103455,0.84642094373703,0.5144792199134827,0.22723904252052307,-0.33742639422416687,0.8641108870506287,0.507013201713562,0.22491060197353363,-0.3372495174407959,0.890362024307251,0.5212197303771973,0.22960901260375977,-0.45358696579933167,0.8726695775985718,0.5141834020614624,0.22795599699020386,-0.45451539754867554,0.9016412496566772,0.5060589909553528,0.22623111307621002,-0.4551048278808594,0.922015905380249,0.4535117447376251,0.2228812426328659,-0.15409889817237854,0.9454584717750549,0.4463284909725189,0.22555112838745117,-0.677560031414032,0.928438127040863,0.5064185857772827,0.27127304673194885,-0.2675585150718689,0.9373504519462585,0.504138708114624,0.26960551738739014,-0.4254794716835022,0.9361211061477661,0.3957670331001282,0.3351243734359741,0.12109830230474472,0.9992632865905762,0.3260459899902344,0.3395546078681946,-0.8252050280570984,0.9985480308532715,0.48715856671333313,0.46951836347579956,-0.10726255178451538,0.042002711445093155,0.5146207213401794,0.48391643166542053,-0.7606784701347351,0.9528542757034302,0.5605449676513672,0.35849082469940186,-0.7815253734588623,0.04363373667001724,0.5856246948242188,0.33444663882255554,-0.25993525981903076,0.9342746138572693,0.5777640342712402,0.32439902424812317,-0.8547910451889038,0.06284626573324203,0.6034881472587585,0.2977558970451355,-0.2889026999473572,0.917835533618927,0.5588083863258362,0.3107530474662781,-0.871086061000824,0.06030799448490143,0.5709920525550842,0.29341572523117065,-0.2704925835132599,0.9115467667579651,0.5431503653526306,0.32635048031806946,-0.8079624176025391,0.058330927044153214,0.5553614497184753,0.30653032660484314,-0.24227005243301392,0.8577291369438171,0.44245848059654236,0.6431710124015808,0.3053826093673706,0.9995229840278625,0.33496561646461487,0.6601877808570862,-0.30596858263015747,0.9995841383934021,0.5331372022628784,0.7699709534645081,1.1073638200759888,0.1456250101327896,0.27438613772392273,0.8326697945594788,-0.009092072956264019,0.8349940180778503,0.5236102342605591,0.8926321864128113,1.8033946752548218,0.24222107231616974,0.1723255217075348,0.9814481139183044,0.40184733271598816,0.8314939737319946,0.4902883768081665,0.9245852828025818,1.8612635135650635,0.3010520040988922,0.13767622411251068,0.9963095784187317,0.43967461585998535,0.5867844223976135,0.6787598133087158,0.9330819845199585,1.8179965019226074,0.2897852063179016,0.23643122613430023,1.0718634128570557,0.26536428928375244,0.7133665084838867
5,0.3333333333333333,0.5483931303024292,0.24964211881160736,-0.29395386576652527,0.8770195841789246,0.5306804180145264,0.22865454852581024,-0.26942846179008484,0.8471883535385132,0.5218996405601501,0.2271113395690918,-0.2706710696220398,0.8636866807937622,0.5145483016967773,0.2244463711977005,-0.2706614136695862,0.8912383913993835,0.5369782447814941,0.22850114107131958,-0.3725317120552063,0.8767524361610413,0.5320390462875366,0.22718030214309692,-0.3735981285572052,0.9052011370658875,0.527312695980072,0.2258409857749939,-0.37451502680778503,0.9253825545310974,0.4727642834186554,0.22291281819343567,-0.11334282159805298,0.9484238028526306,0.4777718484401703,0.22567123174667358,-0.5825071930885315,0.9325627088546753,0.5240784287452698,0.26941797137260437,-0.21436640620231628,0.9391048550605774,0.5272258520126343,0.26733946800231934,-0.3558971583843231,0.9392532110214233,0.39884549379348755,0.335074245929718,0.23413614928722382,0.9991944432258606,0.37611740827560425,0.3399772346019745,-0.7321418523788452,0.9986059069633484,0.4975082278251648,0.4210151433944702,0.8140570521354675,0.040829721838235855,0.4668949842453003,0.5003812909126282,-0.6467973589897156,0.9550053477287292,0.5842318534851074,0.3319888114929199,1.2816106081008911,0.057109128683805466,0.636268675327301,0.4062916338443756,-0.1958974152803421,0.9387387633323669,0.6107341647148132,0.3002670705318451,1.390686273574829,0.08400522172451019,0.6785920858383179,0.3823130428791046,-0.22470298409461975,0.9225874543190002,0.5990553498268127,0.29233452677726746,1.3207390308380127,0.08324941992759705,0.6552302837371826,0.3688141107559204,-0.15678399801254272,0.9167863726615906,0.5855726003646851,0.3070790469646454,1.265153408050537,0.08123113214969635,0.637130618095398,0.37314680218696594,-0.1585901975631714,0.8640905618667603,0.44561731815338135,0.6430829763412476,0.3075684607028961,0.9994001984596252,0.3665492534637451,0.6600750684738159,-0.3077571392059326,0.9995067119598389,0.5512346625328064,0.7659929990768433,1.0872175693511963,0.14138367772102356,0.3038269877433777,0.8396908044815063,-0.005579361692070961,0.8364955186843872,0.5259925723075867,0.8930517435073853,1.7957016229629517,0.24656736850738525,0.17198176681995392,0.9814172387123108,0.45600542426109314,0.8344146609306335,0.49077826738357544,0.9246101379394531,1.8581247329711914,0.3139633536338806,0.13687828183174133,0.9952560067176819,0.4992634952068329,0.585375964641571,0.6782441139221191,0.9337877631187439,1.8136829137802124,0.2941683828830719,0.22905954718589783,1.0734881162643433,0.32124677300453186,0.715067446231842
6,0.4,0.5779486298561096,0.2437581717967987,-0.2984172999858856,0.8797302842140198,0.5569921135902405,0.22349771857261658,-0.27737200260162354,0.849075198173523,0.5474286675453186,0.2217073142528534,-0.2785826623439789,0.8645856976509094,0.5393372774124146,0.21952316164970398,-0.2786172926425934,0.8926283121109009,0.5635837316513062,0.2240096926689148,-0.3746994137763977,0.880568265914917,0.5584374666213989,0.2229790836572647,-0.37583982944488525,0.9082816243171692,0.5533347129821777,0.2221042513847351,-0.3766973316669464,0.9280665516853333,0.4969837963581085,0.2202916294336319,-0.12351025640964508,0.9507790803909302,0.5057491660118103,0.22427359223365784,-0.5733802318572998,0.9348596930503845,0.5560072064399719,0.2620435059070587,-0.22153696417808533,0.9398189187049866,0.558486819267273,0.2601253092288971,-0.3558589220046997,0.9415803551673889,0.3939967453479767,0.3209421932697296,0.18748410046100616,0.9991951584815979,0.43996140360832214,0.3293137848377228,-0.6940139532089233,0.9987074136734009,0.4750296175479889,0.373529314994812,0.8004144430160522,0.040742937475442886,0.3999043107032776,0.4761367440223694,-0.6889423131942749,0.9570707082748413,0.5729628205299377,0.31634747982025146,1.3531440496444702,0.07166736572980881,0.6342368125915527,0.48882442712783813,-0.49795177578926086,0.9391974210739136,0.5935098528862,0.2895243763923645,1.4606903791427612,0.103202223777771,0.6969662308692932,0.4937422573566437,-0.5520371794700623,0.9216680526733398,0.5970091223716736,0.28309911489486694,1.3796043395996094,0.10371578484773636,0.6933379769325256,0.4724733233451843,-0.4939442276954651,0.916347861289978,0.5877049565315247,0.2940594553947449,1.3352246284484863,0.10120892524719238,0.6763893365859985,0.47038206458091736,-0.4698725938796997,0.8611116409301758,0.4425583779811859,0.6317363381385803,0.3035161793231964,0.9993441700935364,0.40125349164009094,0.6459136605262756,-0.30357399582862854,0.9994809031486511,0.5407266616821289,0.7507457137107849,0.9824875593185425,0.14489056169986725,0.35530078411102295,0.8283738493919373,-0.06175452843308449,0.8425701260566711,0.5275844931602478,0.893090546131134,1.557796597480774,0.26348981261253357,0.1845572590827942,0.9775211811065674,0.21851232647895813,0.8437200784683228,0.4911063313484192,0.9253480434417725,1.606372356414795,0.33417224884033203,0.13978029787540436,0.9902587532997131,0.24567005038261414,0.5959590673446655,0.677993655204773,0.9338647127151489,1.578864574432373,0.30931225419044495,0.22917084395885468,1.0731281042099,0.08579875528812408,0.7285532355308533
7,0.4666666666666667,0.577423632144928,0.24230638146400452,-0.08266967535018921,0.8560174107551575,0.5635613799095154,0.22148653864860535,-0.08521710336208344,0.8190722465515137,0.5564806461334229,0.22004945576190948,-0.08627615869045258,0.8304228186607361,0.5502590537071228,0.21832126379013062,-0.08637974411249161,0.8639798164367676,0.5704378485679626,0.22190427780151367,-0.16266359388828278,0.8629598617553711,0.5684905648231506,0.22105684876441956,-0.1638059914112091,0.8942530751228333,0.5673458576202393,0.22025711834430695,-0.16457276046276093,0.9190700650215149,0.5119808912277222,0.21942807734012604,-0.038662221282720566,0.9377769827842712,0.5346850752830505,0.22305692732334137,-0.3921562135219574,0.9235299229621887,0.5564086437225342,0.25734153389930725,-0.04157533496618271,0.9153681397438049,0.5611075758934021,0.2570374310016632,-0.14935538172721863,0.9261886477470398,0.38668978214263916,0.309135377407074,0.1705409586429596,0.9988393783569336,0.5179771184921265,0.31386762857437134,-0.5537610054016113,0.9987157583236694,0.42586657404899597,0.3331907093524933,0.6368806958198547,0.037535570561885834,0.5394096970558167,0.43969792127609253,-0.7781878709793091,0.9547101259231567,0.5546062588691711,0.2968192398548126,1.1161094903945923,0.065592460334301,0.7536022067070007,0.5110345482826233,-0.8171731233596802,0.9173110723495483,0.5734700560569763,0.2859190106391907,1.1983050107955933,0.09487198293209076,0.802878201007843,0.5430700778961182,-0.9009737968444824,0.8944014310836792,0.5737916827201843,0.28105050325393677,1.1373313665390015,0.09534060209989548,0.8250687718391418,0.5248907208442688,-0.8701685667037964,0.8896432518959045,0.5708668828010559,0.2875064015388489,1.10366690158844,0.09308194369077682,0.8095498085021973,0.5177459716796875,-0.8088698983192444,0.8259221911430359,0.44159847497940063,0.6124811768531799,0.2386838048696518,0.999308168888092,0.43229466676712036,0.6221837401390076,-0.2393469512462616,0.9994749426841736,0.523853063583374,0.748837411403656,0.8393331170082092,0.15490613877773285,0.4107426702976227,0.8071305751800537,-0.04139896482229233,0.8423547148704529,0.5278951525688171,0.8926050662994385,1.252364158630371,0.29735004901885986,0.2075187712907791,0.9696884751319885,0.20322103798389435,0.8522093296051025,0.49144798517227173,0.925981879234314,1.2814855575561523,0.3603995442390442,0.15058714151382446,0.9822785258293152,0.22540916502475739,0.6098752617835999,0.6783576607704163,0.9324585199356079,1.242315649986267,0.3292003571987152,0.22675931453704834,1.0525412559509277,0.10175908356904984,0.7387179136276245
8,0.5333333333333333,0.5738226771354675,0.2375948280096054,-0.04888300597667694,0.8546186089515686,0.561471700668335,0.21767696738243103,-0.06481912732124329,0.8242971301078796,0.5547703504562378,0.21646815538406372,-0.0658026710152626,0.8339008092880249,0.5485161542892456,0.21516762673854828,-0.0656714215874672,0.8671151399612427,0.5692117810249329,0.21770840883255005,-0.13033244013786316,0.8640671968460083,0.5684671998023987,0.21670447289943695,-0.13138441741466522,0.8953201770782471,0.5686059594154358,0.21576713025569916,-0.1319877654314041,0.919853687286377,0.5121313333511353,0.21544674038887024,-0.05484509468078613,0.9402557015419006,0.541630208492279,0.2176208198070526,-0.3563835918903351,0.9238837361335754,0.5562824010848999,0.25035369396209717,-0.017625734210014343,0.9043207168579102,0.5622819662094116,0.25026047229766846,-0.10958980023860931,0.9114800691604614,0.35544872283935547,0.2981950640678406,0.1433628648519516,0.9977942705154419,0.579338788986206,0.28890034556388855,-0.5215086936950684,0.9979776740074158,0.36151352524757385,0.4235022962093353,0.36275559663772583,0.03447659686207771,0.7845810055732727,0.37904092669487,-0.6927934885025024,0.945137083530426,0.48224952816963196,0.545957624912262,0.5196273326873779,0.05913560464978218,1.0302571058273315,0.44868648052215576,-0.5491259098052979,0.8551719188690186,0.4940045177936554,0.5697342157363892,0.5472704172134399,0.08559932559728622,1.0795812606811523,0.4456702470779419,-0.6052473783493042,0.8320785760879517,0.5340290665626526,0.5719444155693054,0.5083512663841248,0.08601430803537369,1.091482400894165,0.43307945132255554,-0.5709251165390015,0.8263596892356873,0.5424759387969971,0.563651442527771,0.501433789730072,0.08398469537496567,1.0337140560150146,0.43383872509002686,-0.5320382118225098,0.7611091136932373,0.4352479875087738,0.6014999151229858,0.2049500048160553,0.9992718696594238,0.45507004857063293,0.610842227935791,-0.20570008456707,0.9994656443595886,0.5077986121177673,0.7504875659942627,0.8158480525016785,0.2099640816450119,0.4437919855117798,0.8003539443016052,0.10794807970523834,0.8556206822395325,0.5278550386428833,0.8920831680297852,1.2852250337600708,0.35834023356437683,0.23052290081977844,0.9681524634361267,0.3734375238418579,0.865767776966095,0.49203646183013916,0.9274590611457825,1.321423888206482,0.4118572771549225,0.16733980178833008,0.9777730107307434,0.38590189814567566,0.640259325504303,0.6738709211349487,0.9306081533432007,1.2705405950546265,0.37943652272224426,0.2541908919811249,1.037192463874817,0.3000686764717102,0.7603063583374023
9,0.6,0.5791773200035095,0.23542843759059906,-0.06427837908267975,0.8482429385185242,0.5669198632240295,0.21464712917804718,-0.06887438893318176,0.8242013454437256,0.5637492537498474,0.2136431336402893,-0.06992354989051819,0.8325088024139404,0.5611604452133179,0.2127954065799713,-0.06975382566452026,0.8668569922447205,0.5733597278594971,0.21533888578414917,-0.14035966992378235,0.8589616417884827,0.5753841996192932,0.21480289101600647,-0.1414770483970642,0.8917295336723328,0.5793103575706482,0.21422076225280762,-0.14215584099292755,0.9169002771377563,0.528317928314209,0.21498657763004303,-0.028838174417614937,0.9407476186752319,0.5588675737380981,0.2167653739452362,-0.3521431088447571,0.9187799096107483,0.5689582228660583,0.2479156106710434,-0.022091586142778397,0.8867235779762268,0.5752360224723816,0.24852265417575836,-0.12242172658443451,0.8883305788040161,0.3566455841064453,0.29809582233428955,0.1859627217054367,0.9958272576332092,0.604573667049408,0.290802001953125,-0.5594025254249573,0.99656742811203,0.37998443841934204,0.4224572777748108,0.44462522864341736,0.03206381946802139,0.8688206076622009,0.32930856943130493,-0.7605091333389282,0.9394417405128479,0.5508761405944824,0.5200086832046509,0.6430307626724243,0.05347348749637604,1.110343098640442,0.3117685914039612,-0.6158194541931152,0.81537264585495,0.5740309357643127,0.5312327742576599,0.6975780129432678,0.0775308609008789,1.1650683879852295,0.31401774287223816,-0.7083362936973572,0.7919382452964783,0.6214886903762817,0.5342768430709839,0.6134968996047974,0.0779077336192131,1.1526522636413574,0.3050776422023773,-0.6388822197914124,0.7849054336547852,0.6202160120010376,0.5312729477882385,0.6149328351020813,0.07613376528024673,1.117236614227295,0.30780431628227234,-0.5930301547050476,0.7148470282554626,0.4335915744304657,0.5965297222137451,0.22094272077083588,0.9992443919181824,0.452384352684021,0.6099480390548706,-0.22157031297683716,0.9994584321975708,0.5076473355293274,0.7486159205436707,0.870766818523407,0.25913912057876587,0.4593419134616852,0.7960003614425659,0.12190235406160355,0.8675387501716614,0.5285337567329407,0.8912366628646851,1.3404502868652344,0.4137001931667328,0.24292488396167755,0.9654800891876221,0.3746795356273651,0.8781828880310059,0.492963969707489,0.9285199642181396,1.3768643140792847,0.4602270722389221,0.18109048902988434,0.9738472700119019,0.40665167570114136,0.6700339913368225,0.6696761846542358,0.9292486906051636,1.3119304180145264,0.42432281374931335,0.26738569140434265,1.0289198160171509,0.30061057209968567,0.7799469828605652
